Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,001,1,6,3,15,8,12,11,1,,1,,,4,,,,,3,"Zhang, Jieying","Zhang, Yang",,,,
ACCT,2301,002,,8,9,11,9,7,12,4,,2,,,3,,,,,0,"Zhang, Jieying","Zhang, Yang",,,,
ACCT,2301,003,,18,4,11,8,8,10,2,,1,,,2,,,,,1,"Zhang, Jieying","Zhang, Yang",,,,
ACCT,2301,005,3,10,16,17,5,6,,2,1,,1,1,,,,,,3,"Ozel, Naim Bugra","Gu, Dongdi",,,,
ACCT,2301,006,4,12,17,11,6,3,2,1,1,,2,1,1,,,,1,2,"Ozel, Naim Bugra","Gu, Dongdi",,,,
ACCT,2301,007,10,3,14,7,5,4,,6,,,,,12,,,,,3,"Gencer, Nur Pinar",,,,,
ACCT,2301,501,,10,16,14,10,3,,1,,1,1,1,1,,,,,6,"Ozel, Naim Bugra","Gu, Dongdi",,,,
ACCT,2302,001,1,6,5,6,8,6,3,3,3,2,1,2,5,,,,,8,"Goodrich, Mary Beth W","Parupati, Sunil K",,,,
ACCT,2302,002,3,10,1,9,9,5,9,3,2,,,,1,,,,,3,"Goodrich, Mary Beth W","Parupati, Sunil K",,,,
ACCT,2302,003,10,14,9,7,6,5,4,1,2,,1,,1,,,,,0,"Pinto, Jedson P","Chen, Hangu",,,,
ACCT,2302,004,10,16,11,7,7,4,2,2,1,,,,,,,,,0,"Pinto, Jedson P","Chen, Hangu",,,,
ACCT,2302,005,7,8,6,9,5,6,6,1,2,5,1,,3,,,,,0,"Sinha, Kirti","Song, Dongye",,,,
ACCT,2302,006,12,8,3,9,6,5,8,1,1,3,2,,1,,,,,0,"Sinha, Kirti","Song, Dongye",,,,
ACCT,2302,007,11,5,7,7,6,6,5,5,7,,1,,,,,,,0,"Sinha, Kirti","Song, Dongye",,,,
ACCT,2302,008,,5,10,,6,4,,2,3,,1,,9,,,,,6,"Dai, Zhonglan","Liu, Ruichao",,,,
ACCT,2302,009,4,5,7,5,11,,5,7,4,,1,1,4,,,,,4,"Dai, Zhonglan","Liu, Ruichao",,,,
ACCT,2302,501,7,8,5,11,15,6,2,2,1,1,,1,,,,,,1,"Pinto, Jedson P","Chen, Hangu",,,,
ACCT,3101,PPA,,,,,,,,,,,,,,,56,1,,1,"Bortz, Tiffany A","Stone, Bailey K",,,,
ACCT,3322,001,,11,1,1,4,1,1,1,,,,,2,,,,,2,"Goodrich, Mary Beth W",,,,,
ACCT,3331,001,7,6,5,6,5,2,3,6,,3,2,,,,,,,3,"Zhou, Yibin","Manoj Vasudha Shivaani, Fnu",,,,
ACCT,3331,002,5,1,3,5,3,3,5,8,,4,3,,2,,,,,1,"Zhou, Yibin","Manoj Vasudha Shivaani, Fnu",,,,
ACCT,3331,501,5,4,4,2,6,10,,5,,,1,,3,,,,1,4,"Solcher, Steven J","Figueroa, Diego A",,,,
ACCT,3332,001,4,7,4,3,13,2,1,6,,2,7,4,5,,,,1,3,"Bortz, Tiffany A","Stone, Bailey K",,,,
ACCT,3332,501,,4,,1,4,,1,8,1,,5,,4,,,,,1,"Karnuta, Daniel","Tosto, Juliet J",,,,
ACCT,3341,001,5,5,7,4,5,3,6,11,,1,1,,,,,,,0,"Sadka, Gil","Holstead, Cameron",,,,
ACCT,3341,002,7,6,11,7,4,5,1,6,1,,,,,,,,,0,"Sadka, Gil","Holstead, Cameron",,,,
ACCT,3341,501,4,4,6,5,4,6,4,11,1,1,,,1,,,,,0,"Sadka, Gil","Holstead, Cameron",,,,
ACCT,3350,001,3,3,3,2,4,5,1,3,1,,1,2,6,,,,,2,"Gamino, John P",,,,,
ACCT,3350,501,3,1,3,2,2,4,2,2,1,1,2,,3,,,,,0,"Gamino, John P",,,,,
ACCT,3350,PPA,9,7,5,8,5,7,6,5,2,2,2,2,2,,,,,0,"Gamino, John P",,,,,
ACCT,4301,001,2,2,1,3,3,4,1,3,2,,1,,,,1,,,0,"Hagen, John C","Raghunathan, Prakash",,,,
ACCT,4334,001,,7,,,11,1,,6,,,,,2,,,,,1,"Linsteadt, Chris C",,,,,
ACCT,4334,501,,8,,,9,,,9,,1,,,1,,,,,1,"Linsteadt, Chris C",,,,,
ACCT,4337,501,1,1,2,4,5,1,4,3,,,,1,3,,,,,7,"Ballew, Gregory E","Stone, Bailey K",,,,
ACCT,4340,001,12,8,5,2,3,2,1,,2,1,,1,4,,,,,1,"Johnson, Jennifer","Deininger, Sarah A",,,,
ACCT,4342,001,6,6,5,7,6,4,4,,4,1,,,2,,,,,0,"Johnson, Jennifer","Deininger, Sarah A",,,,
ACCT,4342,501,1,4,2,5,5,7,1,1,,2,,,,,,,1,2,"Johnson, Jennifer","Deininger, Sarah A",,,,
ACCT,4342,PP1,1,4,6,4,2,4,2,,,,,,,,,,,0,"Johnson, Jennifer","Deininger, Sarah A",,,,
ACCT,4342,PP2,1,16,16,10,3,2,2,,,,,,,,,,,0,"Johnson, Jennifer","Deininger, Sarah A",,,,
ACCT,6193,SS1,,26,,1,37,,,10,,,,,3,,,,,0,"Betanzos, Christina L","Solcher, Steven J",,,,
ACCT,6202,501,,8,3,8,11,,2,1,,,,,1,,,,1,2,"Natarajan, Ramachandran","Ai, Lanru",,,,
ACCT,6202,CW1,,15,,,,,,,,,,,1,,,,,0,"Barden, John P",,,,,
ACCT,6202,GW1,,17,1,1,1,1,,1,,,,,,,,,1,0,"Sadka, Gil","Holstead, Cameron",,,,
ACCT,6202,MBC,,16,8,17,12,,,,,,,,,,,,,0,"Natarajan, Ramachandran","Ai, Lanru",,,,
ACCT,6202,MBP,,9,3,10,4,,,,,,,,,,,,,1,"Natarajan, Ramachandran","Ai, Lanru",,,,
ACCT,6202,PS1,,3,,3,1,2,,,,,,,,,,,,1,"Zolton, Kathy",,,,,
ACCT,6202,XS1,,15,2,1,1,,,,,,,,,,,,,0,"Sadka, Gil","Holstead, Cameron",,,,
ACCT,6291,SS1,,31,,,34,,,12,,,,,,,,,,2,"Zolton, Kathy",,,,,
ACCT,6292,SS1,,42,,,33,,,5,,,,,1,,,,,0,"Linsteadt, Chris C",,,,,
ACCT,6301,0W1,,14,12,11,7,10,5,2,,,,,4,,,,,1,"Ali, Ashiq","Liu, Ruichao",,,,
ACCT,6301,501,,34,19,4,8,3,2,2,,,,,1,,,,,0,"Barden, John P","Medina, Monica E",,,,
ACCT,6301,CW1,,10,1,,1,,,,,,,,,,,,,0,"Barden, John P",,,,,
ACCT,6305,001,,28,,13,4,,,14,,,,,,,,,,0,"Loumioti, Maria","He, Jiapeng",,,,
ACCT,6305,002,,30,,14,5,,,4,,,,,,,,,,0,"Loumioti, Maria","He, Jiapeng",,,,
ACCT,6305,501,,36,,19,8,,,4,,,,,,,,,,2,"Loumioti, Maria","He, Jiapeng",,,,
ACCT,6313,0W1,,10,3,,1,2,,,,,,,,,,,,1,"Cavusoglu, Huseyin","Zhu, Yan",,,,
ACCT,6320,0W1,,4,2,2,4,1,,,,,,,1,,,,,0,"Cavusoglu, Huseyin","Zhu, Yan",,,,
ACCT,6330,501,,7,,,7,,,9,,,,,2,,,,1,3,"Cready, William M","Ai, Lanru",,,,
ACCT,6331,501,,2,6,5,4,,1,,,,,,,,,,,1,"Janakiraman, Surya","Parupati, Sunil K",,,,
ACCT,6332,501,,13,,,9,,,4,,,,,6,,,,,3,"Zolton, Kathy","Deininger, Sarah A",,,,
ACCT,6332,S01,,11,4,5,3,3,3,1,,,,,,,,,,0,"Zhang, Jieying","Zhang, Yang",,,,
ACCT,6333,501,,12,,,14,,,6,,,,,,,,,1,4,"Zolton, Kathy","Figueroa, Diego A",,,,
ACCT,6334,S01,,20,,,7,,3,,,,,,,,,,,0,"Linsteadt, Chris C",,,,,
ACCT,6335,0W1,,21,9,7,19,3,3,1,,,,,,,,,,1,"Bortz, Tiffany A","Tosto, Juliet J",,,,
ACCT,6335,PP1,,11,4,4,3,,,,,,,,,,,,,0,"Bortz, Tiffany A","Tosto, Juliet J",,,,
ACCT,6335,PP2,,19,11,7,10,,,,,,,,,,,,,0,"Bortz, Tiffany A","Tosto, Juliet J",,,,
ACCT,6336,501,,9,10,3,6,4,,,,,,,,,,,,1,"Mauriello, Joseph A","Deokar, Shraddha V",,,,
ACCT,6338,5D1,,28,,2,9,1,,1,,,,,1,,,,1,2,"Goodrich, Mary Beth W",,,,,
ACCT,6344,0W1,,29,18,14,2,,,,,,,,,,,,,1,"Gurun, Umit","Manoj Vasudha Shivaani, Fnu",,,,
ACCT,6345,PP2,,17,12,11,6,1,1,,,,,,,,,,,0,"Janakiraman, Surya","Parupati, Sunil K",,,,
ACCT,6353,501,,22,8,,3,1,1,,,,,,1,,,,,1,"Gamino, John P",,,,,
ACCT,6353,S01,,5,8,1,,,,,,,,,,,,,,0,"Solcher, Steven J",,,,,
ACCT,6356,PP1,,16,4,1,,,,,,,,,,,,,,0,"Gamino, John P",,,,,
ACCT,6377,501,,13,7,11,4,2,1,,,,,,1,,,,,0,"Ballew, Gregory E",,,,,
ACCT,6380,501,,2,10,7,5,,,1,,,,,,,,,,0,"Mauriello, Joseph A","Adams, Veronica L",,,,
ACCT,6384,501,,30,3,1,2,2,,,,,,,1,,,,,4,"Kromer, Jeffrey","Medina, Monica E",,,,
ACCT,6384,S01,,10,4,,,,,,,,,,,,,,,0,"Kromer, Jeffrey",,,,,
ACCT,6392,501,,14,3,6,5,,,,,,,,,,,,,0,"Mauriello, Joseph A","Deokar, Shraddha V","Adams, Veronica L",,,
ACN,5314,501,,15,15,6,,,,,,,,,,,,,,2,"Golden, Richard","Sudheesh, Athul",,,,
ACN,6313,003,,5,1,1,5,,,,,,,,,,,,,1,"Juhn, Nancy H","Batchalli Maruthy, Gayathri","Zhang, Ziwei",,,
ACN,6313,501,,4,4,4,,1,,,,,,,,,,,,2,"Abdi, Herve","Moraglia, Luke E",,,,
ACN,6331,001,,7,2,,,,,,,,,,,,,,,1,"Mills, Candice M",,,,,
ACN,6332,0H1,,26,6,2,,,,,,,,,,,,,,0,"Raman, Rachna",,,,,
ACN,6333,001,,13,4,3,6,2,,,,,,,,,,,,2,"Basak, Chandramallika",,,,,
ACN,6338,001,,10,,,12,,,6,,,,,,,,,,5,"Kennedy, Kristen M","Moon, Da Yeoun",,,,
ACN,6342,0W1,,22,5,1,1,,1,1,,,,,2,,,,1,0,"Orrick, Erika D",,,,,
ACN,6346,001,,14,,,4,,,,,,,,1,,,,,2,"Sultana, Rukhsana",,,,,
ACN,6372,001,,17,2,3,,,,,,,,,,,,,,2,"Kolber, Benedict J",,,,,
ACN,6374,0H1,,22,,,,,,,,,,,,,,,,0,"Jahangiri, Faisal R",,,,,
ACN,6V81,501,,9,,,1,,,,,,,,,,,,,0,"Overzet, Kathryn M",,,,,
ACN,7343,001,,24,,,2,,,,,,,,,,,,,0,"Dussor, Gregory O",,,,,
ACN,7372,001,,10,3,1,,,,,,,,,,,,,,0,"Burton, Michael D",,,,,
ACTS,4301,001,7,1,1,1,3,2,2,1,2,,2,2,5,,,,,1,"Makhijani, Neha","Guo, Qi",,,,
ACTS,4302,001,,4,3,1,5,4,2,3,1,3,1,,3,,,,,2,"Humphreys, Natalia A","Bal, Sabindra Singh",,,,
ACTS,4305,001,2,,2,5,5,6,1,2,1,,,,1,,,,,0,"Humphreys, Natalia A","Bal, Sabindra Singh",,,,
ACTS,6308,001,,6,,,1,1,,,,,,,1,,,,,1,"Makhijani, Neha","Yang, Haopeng",,,,
AHST,1303,001,30,15,19,18,8,3,6,4,2,2,,1,4,,,,,1,"Alibhai, Ali Asgar H","Barnes, Claudia",,,,
AHST,1303,002,32,29,18,9,5,3,1,3,1,3,3,2,3,,,,,1,"Alibhai, Ali Asgar H","Miron, Emmalyn W",,,,
AHST,2331,001,,11,9,10,19,16,6,13,6,4,6,1,34,,,,,1,"Terranova, Charissa",,"Sahin, Merve","Enyaosah, Damian P",,
AHST,2331,HN1,4,15,,2,,,,,,,,,3,,,,,0,"Chao, Jacqueline J",,,,,
AHST,3320,001,3,6,2,3,1,2,2,1,3,,2,1,2,,,,,0,"Rodriguez, James","De Jesus, Marquita S",,,,
AHST,3322,001,,11,3,2,1,1,,,,,,,4,,,,,0,"Terranova, Charissa",,,,,
AMS,2300,001,,8,11,10,7,3,3,2,2,1,1,1,5,,,,,3,"Pogue, Neall W",,,,,
AMS,2300,002,,4,13,11,9,1,2,3,1,2,1,1,6,,,,,3,"Pogue, Neall W",,,,,
AMS,2300,HN1,,3,2,5,,1,,,,,,,,,,,,0,"Smith, Erin",,,,,
AMS,2341,001,,3,2,2,3,3,,2,,,,,1,,,,,0,"Naqvi, Syed K",,,,,
AMS,2341,002,,5,7,2,7,,,2,1,,,,1,,,,,3,"Naqvi, Syed K",,,,,
AMS,3302,001,,6,4,9,1,,,1,,,,,3,,,,,0,"Werhnyak, Larissa",,,,,
AMS,3316,0W1,15,10,4,2,1,6,,,,,,,,,,,,1,"Winstead, Elizabeth L",,,,,
AMS,3322,001,,3,4,,2,,,2,,,,,,,,,,1,"Naqvi, Syed K",,,,,
AMS,3350,0W1,19,11,3,1,,1,,,,,,,1,,,,,2,"Winstead, Elizabeth L",,,,,
AMS,4300,5H1,2,4,,1,4,2,,2,,,,,1,,,,,0,"Ross, Alyssa N",,,,,
AMS,4305,5H1,,3,1,3,3,2,,,,,,,2,,,,,0,"Cotton, Scott C",,,,,
AMS,4379,001,,3,,,3,1,,2,,,,,1,,,,,1,"Naqvi, Syed K",,,,,
ARAB,1311,002,5,1,6,,,,,,,,,,1,,,,,1,"Arrabai, Mustafa M",,,,,
ARHM,3342,001,,3,1,7,6,1,,,,,,,4,,,,,2,"Wickberg, Daniel",,,,,
ARHM,3342,002,,10,3,,1,,,1,,,1,,2,,,,,0,"Evans, Kathryn C",,,,,
ARHM,6310,001,,20,2,,2,,,,,,,,,,,,,0,"Fischer, Anne G","Barnes, Ashley",,,,
ARTS,1301,001,55,34,4,4,4,3,,2,,1,1,,5,,,,,0,"Wilder, James E","Ivey, Tinamarie",,,,
ARTS,1316,001,5,2,3,5,,1,2,,,,,,,,,,,0,"Min, Inki A",,,,,
ARTS,1316,002,10,5,2,,,1,,,,,,,,,,,,1,"Booker, Rebecca M","Miranda, Jeffrey",,,,
ARTS,1316,003,2,10,4,1,,1,,,,,,,1,,,,,0,"Travis, Audrey",,,,,
ARTS,1316,501,4,6,5,2,,,1,,,,,,1,,,,,0,"Fridge, Brian D",,,,,
ARTS,2316,001,,4,8,1,1,1,1,,,,,,1,,,,,0,"Ligon, Peter A",,,,,
ARTS,2316,501,8,1,3,,,,,,,,,,2,,,,,1,"Egan, Trey T",,,,,
ARTS,2348,001,4,10,2,1,,,,,,,,,,,,,,0,"Williams, Thomas E",,,,,
ARTS,2350,001,1,7,3,,2,1,,2,,,,1,,,,,,2,"Copeland, Colette",,,,,
ARTS,2350,501,4,3,2,2,1,,1,1,,,,,3,,,,,1,"Lyon, Tara L",,,,,
ARTS,2380,001,6,5,2,2,,,1,,,,,,1,,,,,1,"Egan, Trey T",,,,,
ARTS,2380,501,6,2,2,1,,2,,1,,,,2,1,,,,,2,"Reyes, Marcela",,,,,
ARTS,2381,001,3,7,2,2,,,,,,,,,,,,,,1,"Hanson, Lily",,,,,
ARTS,3315,001,11,,,,,,,,,,,,,,,,,0,"Curry, Val",,,,,
ARTS,3340,001,2,5,,2,1,,,1,,,,,,,,,,0,"Durant, Stephanie D",,,,,
ARTS,3340,002,6,,,2,,1,,,,,,,,,,,,2,"Copeland, Colette",,,,,
ARTS,3341,001,,18,,,1,,,,,,,,,,,,,0,"Shi, Carle",,,,,
ARTS,3363,001,4,11,1,,1,,,,,,,,,,,,,2,"Tady, Lorraine T",,,,,
ARTS,3364,501,3,9,,,,,,,,,,,,,,,,0,"Williams, Thomas E",,,,,
ARTS,3367,001,10,8,,,,,,,,,,,,,,,,0,"Fridge, Brian D",,,,,
ARTS,3367,002,,12,,6,,,,,,,,,,,,,,0,"Shi, Carle",,,,,
ARTS,3368,001,8,6,2,,,3,,,,,,,,,,,,0,"Reyes, Marcela",,,,,
ARTS,3369,001,3,7,,,,,,,,,1,,,,,,,0,"Tady, Lorraine T",,,,,
ARTS,3371,001,2,2,3,1,1,1,2,,2,,,,,,,,,2,"Miller, Cynthia M",,,,,
ARTS,3371,002,2,4,2,1,4,,,,,,1,,2,,,,,0,"Durant, Stephanie D",,,,,
ARTS,3372,001,6,5,2,,,,2,,,,,,3,,,,,1,"Loving, Emily",,,,,
ARTS,3372,002,,3,4,3,7,,1,,,,,,,,,,,1,"Palmer, Marcy A",,,,,
ARTS,3373,001,4,6,,2,,,,,,,1,,,,,,,2,"Tady, Lorraine T",,,,,
ARTS,3376,001,2,8,1,,,,,,,,,,,,,,,1,"Kim, Laura H",,,,,
ARTS,3377,001,,5,6,4,,,,1,,1,,,,,,,,2,"Palmer, Marcy A",,,,,
ARTS,3378,001,5,10,2,1,,,,,,,,,,,,,,0,"Randall, Steven V",,,,,
ARTS,3379,501,5,4,1,1,,1,1,1,,,,,3,,,,,0,"Loving, Emily",,,,,
ARTS,3383,001,3,5,3,2,3,,1,1,,,,,,,,,,1,"Etter, Ian",,,,,
ARTS,4310,501,2,5,4,2,1,1,,,,,,,,,,,,1,"Avram, Danielle M",,,,,
ARTS,4366,001,1,7,4,,,,2,,,,,,,,,,,0,"Travis, Audrey",,,,,
ARTS,4368,001,7,10,,,,,,,,,,,,,,,,0,"Pomara, John",,,,,
ARTS,4372,001,2,7,4,3,,,,1,,,1,,,,,,,0,"Waligore, Marilyn A",,,,,
ATCM,1100,001,2,,1,1,2,2,,1,2,1,,,4,,,,,0,"Gutierrez, Alejandra",,,,,
ATCM,2300,0W1,4,50,29,14,27,20,6,15,7,3,4,4,19,,,,,6,"Cooley, Heidi","Haborak, Fiona K","Welwood, Samantha F","Pietsch, Samuel R","Lee, Yueh-Jung",
ATCM,2301,001,1,7,7,,4,,2,3,1,,,,5,,,,,0,"O'Neill, Cynthia M",,,,,
ATCM,2301,002,,4,3,2,5,2,2,1,,,,1,2,,,,,6,"Simsek, Cansu Nur",,,,,
ATCM,2301,003,1,8,5,3,1,,2,1,1,,,1,6,,,,,1,"Monjoree, Uttamasha",,,,,
ATCM,2301,004,12,13,,1,,2,,,,,,,1,,,,,1,"Trosper, Elizabeth M","Banditrat, Emily",,,,
ATCM,2301,005,1,6,11,1,2,2,,3,1,,,,2,,,,,1,"Hoggatt, Zane C",,,,,
ATCM,2301,006,1,,8,1,2,3,5,1,2,1,,1,2,,,,,3,"Jones, Jazmine Q",,,,,
ATCM,2301,007,,3,1,2,4,2,,2,,1,1,1,2,,,,,9,"Marder, Amanda K",,,,,
ATCM,2302,001,3,9,5,,3,,,2,1,1,1,,,,,,,1,"Minnish, Roxanne W","Ashkaboosi, Maryam",,,,
ATCM,2302,002,4,6,4,1,4,,,3,,,,,3,,,,,0,"Minnish, Roxanne W","Ashkaboosi, Maryam",,,,
ATCM,2302,003,12,6,2,1,,1,1,2,1,,1,,1,,,,,1,"Beverly, Diamond E",,,,,
ATCM,2302,004,12,7,3,3,1,1,,1,1,,,,1,,,,,0,"Bagherzadeh, Elmira",,,,,
ATCM,2302,005,6,6,5,2,3,2,2,,,,,2,1,,,,,1,"Nguyen, Tuoc K",,,,,
ATCM,2302,006,4,10,2,1,2,3,1,2,,,,,2,,,,,0,"Nguyen, Tuoc K",,,,,
ATCM,2302,501,4,4,4,2,3,2,,1,2,,,1,6,,,,,0,"Gonzalez, Isi J",,,,,
ATCM,2303,001,23,37,41,22,21,12,7,5,4,,2,1,2,,,,,2,"Boyd, Elizabeth","Denner, Grace A","McClanahan, Sara N",,,
ATCM,2310,001,30,20,18,12,11,14,4,3,5,3,1,3,17,,,,,8,"Salter, Monika M","Chandler, Adam W","Caldwell, Bryon A",,,
ATCM,2321,501,15,1,2,1,1,3,,2,,,,,3,,,,,2,"Rheams, David C",,,,,
ATCM,2325,001,,19,,,2,,,,,1,,,2,,,,1,1,"Nguyen, Josef D",,,,,
ATCM,2330,001,3,9,,5,4,3,,2,,,,1,2,,,,,1,"Nielsen, Christina R","Clement, Shonte M",,,,
ATCM,2330,002,2,4,3,3,7,3,,1,2,,1,1,3,,,,,0,"Nielsen, Christina R","Clement, Shonte M",,,,
ATCM,2335,501,4,4,2,2,2,1,,1,2,,,,5,,,,,0,"Starzer, Kenneth W",,,,,
ATCM,2335,502,,4,5,,,2,,2,2,,,,5,,,,,1,"Starzer, Kenneth W",,,,,
ATCM,2340,0W1,,46,,,38,,,7,,,,,4,,,,,5,"Lester, Paul","Doust-Haghighi, Elham","Fladager, Evan J",,,
ATCM,2345,001,3,6,2,4,1,3,1,3,1,,1,,2,,,,,3,"Fitzgerald, Harold E",,,,,
ATCM,2345,002,5,2,4,4,3,3,1,,,,,,7,,,,,1,"Fitzgerald, Harold E",,,,,
ATCM,2345,003,6,2,4,1,2,1,1,1,,,1,,7,,,,,4,"Fitzgerald, Harold E",,,,,
ATCM,2345,004,3,11,5,2,,2,1,1,,,,,1,,,,,3,"Marks, David E",,,,,
ATCM,2350,001,23,,5,,,1,,,,,,,,,,,,1,"Hoggatt, Zane C",,,,,
ATCM,2350,002,13,11,,,1,,,,,,1,,1,,,,,2,"Trosper, Elizabeth M",,,,,
ATCM,2350,0W1,1,13,7,1,2,,1,1,,,,,1,,,,,3,"Dufour, Frank",,,,,
ATCM,2360,001,20,3,5,2,2,2,,3,3,,,,3,,,,,1,"Cox, Norman L",,,,,
ATCM,2375,0W1,5,86,4,,3,,,,2,,,1,2,,,,,3,"Evans, Monica J","Gupta, Suvash","Wu, Benjamin",,,
ATCM,3301,001,,3,5,6,2,3,,,,,,,,,,,,0,"Imaoka, Laura","Hitt, Katherine A",,,,
ATCM,3301,002,,2,6,5,2,1,,2,,,,,1,,,,,0,"Imaoka, Laura","Del Gallo, Rinaldo",,,,
ATCM,3301,003,2,8,4,1,1,,,,,,,,2,,,,,1,"Heaslip, Audra",,,,,
ATCM,3301,004,3,6,3,1,,3,,,,,,1,2,,,,,0,"Heaslip, Audra",,,,,
ATCM,3301,005,,4,2,2,4,3,,,1,,1,,1,,,,1,0,"Field, Jamie M",,,,,
ATCM,3301,006,9,4,1,1,1,1,,1,1,,,,,,,,,0,"Martinez Ochoa, Angelica Miriam M",,,,,
ATCM,3301,007,,2,7,3,2,3,1,1,,,,,,,,,,0,"Shukla, Nishanshi A",,,,,
ATCM,3301,009,,2,7,2,,5,1,,1,,,,,,,,,1,"Heaslip, Audra",,,,,
ATCM,3301,010,1,4,3,2,1,1,1,,,,,2,4,,,,,0,"Heaslip, Audra",,,,,
ATCM,3305,001,2,10,4,2,10,1,,,1,,,,,,,,,0,"Fechter, Todd A",,,,,
ATCM,3305,501,,13,,,7,,,1,,,,,5,,,,,3,"Manriquez, Robert J",,,,,
ATCM,3306,001,4,4,5,3,4,2,1,1,1,,,,2,,,,,3,"Boyd, Elizabeth",,,,,
ATCM,3306,002,,6,1,5,3,2,3,1,4,,,,3,,,,,2,"Johnson, Casey A",,,,,
ATCM,3306,003,,7,3,2,4,6,4,,,,,2,2,,,,,0,"Salter, Monika M",,,,,
ATCM,3307,001,,3,4,5,5,6,1,1,,,,,2,,,,,3,"McCord, Peter A",,,,,
ATCM,3307,002,,2,6,3,4,3,1,2,4,2,,,2,,,,,1,"McCord, Peter A",,,,,
ATCM,3308,001,3,2,5,1,3,2,,1,,1,2,,9,,,,,1,"Camacho, Christopher J",,,,,
ATCM,3308,002,,,5,2,2,2,1,3,4,,2,,6,,,,,2,"Lim, Fengjie",,,,,
ATCM,3309,001,,1,4,4,2,1,,,,,1,,2,,,,,3,"McComber, Sean",,,,,
ATCM,3311,001,1,5,2,3,4,5,2,,,2,,2,3,,,,,0,"Lim, Fengjie",,,,,
ATCM,3311,002,,9,6,,5,1,2,1,1,1,,,1,,,,,2,"Johnson, Casey A",,,,,
ATCM,3315,001,7,14,4,4,1,,,,,,,,,,,,,0,"Veras de Souza, Christine",,,,,
ATCM,3320,001,12,3,5,2,1,1,,3,2,,,,1,,,,,0,"Rheams, David C",,,,,
ATCM,3321,0H1,3,20,7,,,,,,,,,,,,,,,0,"Llamas Rodriguez, Juan A",,,,,
ATCM,3335,001,1,1,1,,1,3,2,1,1,,1,,1,,,,,1,"Kane, Simon A",,,,,
ATCM,3336,001,,17,7,4,2,1,,,,,,,,,,,,0,"McKinney, Mark",,,,,
ATCM,3336,002,,5,13,3,5,2,1,1,,,,,,,,,,0,"McKinney, Mark",,,,,
ATCM,3336,003,1,7,10,3,3,,1,1,1,,,,,,,,,1,"McKinney, Mark",,,,,
ATCM,3337,001,11,8,2,3,1,2,1,,,,,,2,,,,,0,"Wood, Harold G",,,,,
ATCM,3337,002,10,11,2,1,2,3,,,,,,,1,,,,,0,"Wood, Harold G",,,,,
ATCM,3337,003,11,11,4,,1,2,,,,,,,,,,,,0,"Wood, Harold G",,,,,
ATCM,3337,004,9,11,2,1,2,3,,,,,,,1,,,,,1,"Wood, Harold G",,,,,
ATCM,3338,001,7,1,4,2,2,4,1,1,,1,,,4,,,,,3,"Camacho, Christopher J",,,,,
ATCM,3338,002,5,2,5,2,4,2,2,1,,1,1,,5,,,,,0,"Camacho, Christopher J",,,,,
ATCM,3340,001,16,2,1,3,1,1,1,,2,,,,3,,,,,0,"Cox, Norman L",,,,,
ATCM,3340,002,13,2,3,3,,1,,2,,,2,,2,,,,,2,"Cox, Norman L",,,,,
ATCM,3340,003,14,6,1,1,1,5,1,1,,,,,,,,,,0,"Cox, Norman L",,,,,
ATCM,3346,001,15,1,4,2,,1,,,,,1,,,,,,2,0,"Marks, David E",,,,,
ATCM,3350,0W1,9,6,3,3,,2,1,,,1,1,,4,,,,,0,"Hewitt, Sharon","Nair, Vinayak",,,,
ATCM,3350,0W3,7,4,6,2,1,1,2,1,,,2,,4,,,,,0,"Hewitt, Sharon","Nair, Vinayak",,,,
ATCM,3350,501,,23,2,,1,2,,,,,,,1,,,,,1,"Kondas, Kyle S",,,,,
ATCM,3365,001,9,4,8,4,1,2,,,,,,,,,,,,2,"Christopher, Timothy V",,,,,
ATCM,3365,002,11,6,4,4,,2,1,1,,,,,1,,,,,0,"Christopher, Timothy V",,,,,
ATCM,3365,501,6,13,,3,4,,,,,,,1,1,,,,,2,"Stewart, Michael C",,,,,
ATCM,3366,001,5,17,2,3,,1,,,,,,,1,,,,,1,"Wu, Hong An",,,,,
ATCM,3367,001,4,7,3,8,2,1,2,,,1,,,,,,,,2,"Lewis, Timothy M",,,,,
ATCM,3367,501,9,4,9,1,,1,,,1,,,1,2,,,,,1,"Billingslea, Steven L",,,,,
ATCM,3368,001,,4,4,,4,2,1,,2,,1,,9,,,,,2,"Johnson, Casey A",,,,,
ATCM,3368,002,6,4,3,3,5,5,,,1,1,,,,,,,,2,"Chandler, Adam W",,,,,
ATCM,3370,001,6,6,9,5,2,1,,,,,,,1,,,,,0,"Lewis, Timothy M",,,,,
ATCM,3372,001,6,7,6,,2,1,,1,1,,,,4,,,,1,1,"Fitzgerald, Harold E",,,,,
ATCM,3388,001,25,3,1,,,1,,,,,,,,,,,,0,"Fraley, James M",,,,,
ATCM,3388,002,22,5,,1,,1,,1,,,,,,,,,,0,"Fraley, James M",,,,,
ATCM,4305,001,,3,5,2,1,4,,1,,,,,1,,,,1,1,"Caldwell, Bryon A",,,,,
ATCM,4307,001,1,2,3,2,3,,,,1,,,,,,,,,0,"McCord, Peter A",,,,,
ATCM,4310,501,2,6,6,2,2,6,3,1,,,,,2,,,,,0,"Buxkamper, Adam M",,,,,
